"inv","v","k","firm","year"
317.6,3078.5,2.8,1,1935
391.8,4661.7,52.6,1,1936
410.6,5387.1,156.9,1,1937
257.7,2792.2,209.2,1,1938
330.8,4313.2,203.4,1,1939
461.2,4643.9,207.2,1,1940
512,4551.2,255.2,1,1941
448,3244.1,303.7,1,1942
499.6,4053.7,264.1,1,1943
547.5,4379.3,201.6,1,1944
561.2,4840.9,265,1,1945
688.1,4900.9,402.2,1,1946
568.9,3526.5,761.5,1,1947
529.2,3254.7,922.4,1,1948
555.1,3700.2,1020.1,1,1949
642.9,3755.6,1099,1,1950
755.9,4833,1207.7,1,1951
891.2,4924.9,1430.5,1,1952
1304.4,6241.7,1777.3,1,1953
1486.7,5593.6,2226.3,1,1954
209.9,1362.4,53.8,2,1935
355.3,1807.1,50.5,2,1936
469.9,2676.3,118.1,2,1937
262.3,1801.9,260.2,2,1938
230.4,1957.3,312.7,2,1939
361.6,2202.9,254.2,2,1940
472.8,2380.5,261.4,2,1941
445.6,2168.6,298.7,2,1942
361.6,1985.1,301.8,2,1943
288.2,1813.9,279.1,2,1944
258.7,1850.2,213.8,2,1945
420.3,2067.7,132.6,2,1946
420.5,1796.7,264.8,2,1947
494.5,1625.8,306.9,2,1948
405.1,1667,351.1,2,1949
418.8,1677.4,357.8,2,1950
588.2,2289.5,342.1,2,1951
645.5,2159.4,444.2,2,1952
641,2031.3,623.6,2,1953
459.3,2115.5,669.7,2,1954
33.1,1170.6,97.8,3,1935
45,2015.8,104.4,3,1936
77.2,2803.3,118,3,1937
44.6,2039.7,156.2,3,1938
48.1,2256.2,172.6,3,1939
74.4,2132.2,186.6,3,1940
113,1834.1,220.9,3,1941
91.9,1588,287.8,3,1942
61.3,1749.4,319.9,3,1943
56.8,1687.2,321.3,3,1944
93.6,2007.7,319.6,3,1945
159.9,2208.3,346,3,1946
147.2,1656.7,456.4,3,1947
146.3,1604.4,543.4,3,1948
98.3,1431.8,618.3,3,1949
93.5,1610.5,647.4,3,1950
135.2,1819.4,671.3,3,1951
157.3,2079.7,726.1,3,1952
179.5,2371.6,800.3,3,1953
189.6,2759.9,888.9,3,1954
40.29,417.5,10.5,4,1935
72.76,837.8,10.2,4,1936
66.26,883.9,34.7,4,1937
51.6,437.9,51.8,4,1938
52.41,679.7,64.3,4,1939
69.41,727.8,67.1,4,1940
68.35,643.6,75.2,4,1941
46.8,410.9,71.4,4,1942
